0:0:0:0:0:0:0:1 - - [16/May/2023:10:06:35 +0500] "GET /Melosphere/ListenerGetFollowingArtistDummy.jsp HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [16/May/2023:10:06:41 +0500] "GET /Melosphere/ListenerFavDummy.jsp HTTP/1.1" 200 13709
0:0:0:0:0:0:0:1 - - [16/May/2023:10:06:45 +0500] "GET /Melosphere/ListenerGetFollowingArtistDummy.jsp HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [16/May/2023:10:06:46 +0500] "POST /Melosphere/ListenerArtistViewDummy.jsp HTTP/1.1" 200 24458
0:0:0:0:0:0:0:1 - - [16/May/2023:10:06:49 +0500] "POST /Melosphere/ListenerAddToFav.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [16/May/2023:10:08:24 +0500] "GET /Melosphere/ListenerPlaySongFileServlet?SongName=Blinding%20Lights HTTP/1.1" 200 1424551
0:0:0:0:0:0:0:1 - - [16/May/2023:10:08:28 +0500] "GET /Melosphere/ListenerPlaySongFileServlet?SongName=Blinding%20Lights HTTP/1.1" 200 1424551
0:0:0:0:0:0:0:1 - - [16/May/2023:10:09:06 +0500] "GET /Melosphere/ListenerFavDummy.jsp HTTP/1.1" 200 15591
0:0:0:0:0:0:0:1 - - [16/May/2023:10:09:13 +0500] "GET /Melosphere/ListenerRemoveFromFav.jsp?AName=Taylor+Swift&SName=Style HTTP/1.1" 200 13764
0:0:0:0:0:0:0:1 - - [16/May/2023:10:09:16 +0500] "GET /Melosphere/ListenerGetPlaylistDummy.jsp HTTP/1.1" 200 7058
0:0:0:0:0:0:0:1 - - [16/May/2023:10:09:18 +0500] "GET /Melosphere/ListenerCreatePlaylist.jsp HTTP/1.1" 200 7869
0:0:0:0:0:0:0:1 - - [16/May/2023:10:09:37 +0500] "GET /Melosphere/ListenerShowPlaylistSongsDummy.jsp?PName=Duplicity&PDes=WORK+PLEASE+IM+BEGGING HTTP/1.1" 200 10651
0:0:0:0:0:0:0:1 - - [16/May/2023:10:10:17 +0500] "POST /Melosphere/ListenerAddSongsToPlaylistActual.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [16/May/2023:10:10:23 +0500] "GET /Melosphere/ListenerShowPlaylistSongsDummy.jsp?PName=Duplicity&PDes=WORK+PLEASE+IM+BEGGING HTTP/1.1" 200 12618
0:0:0:0:0:0:0:1 - - [16/May/2023:10:10:43 +0500] "GET /Melosphere/ListenerCreatePlaylist.jsp HTTP/1.1" 200 7869
0:0:0:0:0:0:0:1 - - [16/May/2023:10:10:49 +0500] "POST /Melosphere/ListenerCreatePlaylistServlet HTTP/1.1" 500 32
0:0:0:0:0:0:0:1 - - [16/May/2023:10:10:54 +0500] "GET /Melosphere/ListenerGetPlaylistDummy.jsp HTTP/1.1" 200 8062
0:0:0:0:0:0:0:1 - - [16/May/2023:10:11:05 +0500] "GET /Melosphere/ListenerProfileDummay.jsp HTTP/1.1" 200 5698
0:0:0:0:0:0:0:1 - - [16/May/2023:10:11:05 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:11:15 +0500] "GET /Melosphere/ListenerShowPlaylistSongsDummy.jsp?PName=check&PDes=check HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [16/May/2023:10:11:22 +0500] "GET /Melosphere/ListenerShowPlaylistSongsDummy.jsp?PName=check&PDes=check HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [16/May/2023:10:11:30 +0500] "GET /Melosphere/ListenerProfileDummay.jsp HTTP/1.1" 200 5698
